Name:             Description:
foodf2            "Food Fight (rev 2)"
foodfc            "Food Fight (cocktail)"
footchmp          "Football Champ / Euro Football Champ (World)"
forcebrk          "Force Break (bootleg)"
forgottn          "Forgotten Worlds (World, newer)"
forgottna         "Forgotten Worlds (World)"
forgottnu         "Forgotten Worlds (USA, B-Board 88621B-2, Rev. C)"
forgottnu1        "Forgotten Worlds (USA, B-Board 88618B-2, Rev. C)"
forgottnua        "Forgotten Worlds (USA, B-Board 88618B-2, Rev. A)"
forgottnuaa       "Forgotten Worlds (USA, B-Board 88618B-2, Rev. AA)"
formatz           "Formation Z"
fort2b            "Fortress 2 Blue Arcade (World) (ver 1.01 / pcb ver 3.05)"
fort2ba           "Fortress 2 Blue Arcade (Korea) (ver 1.00 / pcb ver 3.05)"
fortecrd          "Forte Card (Ver 110, Spanish)"
fortune1          "Fortune I (PK485-S) Draw Poker"
fourtrax          "Four Trax (World)"
fpoint            "Flash Point (set 2, Japan) (FD1094 317-0127A)"
fpoint1           "Flash Point (set 1, Japan) (FD1094 317-0127A)"
fpoint1d          "Flash Point (set 1, Japan) (bootleg of FD1094 317-0127A set)"
fpointbj          "Flash Point (Japan, bootleg set 1)"
fpointbl          "Flash Point (World, bootleg)"
fpointd           "Flash Point (set 2, Japan) (bootleg of FD1094 317-0127A set)"
fredmem           "Fred Flintstones' Memory Match (World?, Ticket version, 3/17/95)"
fredmemc          "Fred Flintstones' Memory Match (Mandarin Chinese, 3/17/95)"
fredmemj          "Fred Flintstones' Memory Match (Japan, High Score version, 3/20/95)"
fredmemuk         "Fred Flintstones' Memory Match (UK, 3/17/95)"
fredmemus         "Fred Flintstones' Memory Match (US, High Score version, 3/10/95)"
fredmesp          "Fred Flintstones' Memory Match (Spanish, 3/17/95)"
freekick          "Free Kick (NS6201-A 1987.10)"
freekicka         "Free Kick (NS6201-A 1987.9)"
freekickb1        "Free Kick (bootleg set 1)"
freekickb2        "Free Kick (bootleg set 2)"
freekickb3        "Free Kick (bootleg set 3)"
freeze            "Freeze"
freezeat          "Freeze (Atari) (prototype, English voice, 96/10/25)"
freezeat2         "Freeze (Atari) (prototype, 96/10/18)"
freezeat3         "Freeze (Atari) (prototype, 96/10/07)"
freezeat4         "Freeze (Atari) (prototype, 96/10/03)"
freezeat5         "Freeze (Atari) (prototype, 96/09/20, AMOA-96)"
freezeat6         "Freeze (Atari) (prototype, 96/09/07, Jamma-96)"
freezeatjp        "Freeze (Atari) (prototype, Japanese voice, 96/10/25)"
frenzy            "Frenzy"
friskyt           "Frisky Tom (set 1)"
friskyta          "Frisky Tom (set 2)"
friskytb          "Frisky Tom (set 3, encrypted)"
frogf             "Frog (Falcon bootleg)"
frogg             "Frog (Galaxian hardware)"
frogger           "Frogger"
froggeram         "Frogger (bootleg on Amigo? hardware)"
froggermc         "Frogger (Moon Cresta hardware)"
froggers          "Frog"
froggers1         "Frogger (Sega set 1)"
froggers2         "Frogger (Sega set 2)"
froggers3         "Frogger (Sega set 3)"
froggerv          "Frogger (Videotron bootleg)"
froggrs           "Frogger (Coin Music, bootleg on Scramble hardware)"
frogs             "Frogs"
froman2b          "Idol Mahjong Final Romance 2 (Neo-Geo, bootleg of CD version)"
fromanc2          "Taisen Idol-Mahjong Final Romance 2 (Japan, newer)"
fromanc4          "Taisen Mahjong Final Romance 4 (Japan)"
fromance          "Idol-Mahjong Final Romance (Japan)"
fromancr          "Taisen Mahjong Final Romance R (Japan)"
frontlin          "Front Line"
fround            "The Final Round (version M)"
froundl           "The Final Round (version L)"
fruitbun          "Fruits & Bunny (World?)"
fruitpc           "Fruit Land"
fshark            "Flying Shark (World)"
fsharkbt          "Flying Shark (bootleg with 8741)"
fsoccer           "Fighting Soccer (version 4)"
fsoccerb          "Fighting Soccer (Joystick hack bootleg)"
fsoccerba         "Fighting Soccer (Joystick hack bootleg, alt)"
fsoccerj          "Fighting Soccer (Japan)"
fspiderb          "Frog & Spiders (bootleg?)"
fstarfrc          "Final Star Force (US)"
fstarfrcj         "Final Star Force (Japan)"
fswords           "Fighters Swords (Korean release of Samurai Shodown III)"
ftimpact          "Fighters' Impact (Ver 2.02O)"
ftimpactj         "Fighters' Impact (Ver 2.02J)"
ftimpactu         "Fighters' Impact (Ver 2.02A)"
ftimpcta          "Fighters' Impact A (Ver 2.00J)"
fujitsu_29f016a   "Fujitsu 29F016A Flash"
fullthrl          "Full Throttle (Japan)"
funcsino          "Status Fun Casino (V1.3s)"
funcube           "Funcube (v1.5)"
funcube_touchscrene"Funcube Touchscreen"
funcube2          "Funcube 2 (v1.1)"
funcube3          "Funcube 3 (v1.1)"
funcube4          "Funcube 4 (v1.0)"
funcube5          "Funcube 5 (v1.0)"
funkybee          "Funky Bee"
funkybeeb         "Funky Bee (bootleg, harder)"
funkyfig          "The First Funky Fighter (USA, Canada, Mexico / Japan, set 1)"
funkyfiga         "The First Funky Fighter (USA, Canada, Mexico / Japan, set 2)"
funkyjet          "Funky Jet (World, rev 1)"
funkyjeta         "Funky Jet (World)"
funkyjetj         "Funky Jet (Japan, rev 2)"
funnymou          "Funny Mouse (Japan)"
funquiz           "Fun World Quiz (Austrian)"
funriver          "Fun River (Version 1.4R CGA)"
funriverd1        "Fun River (Version 1.3R CGA)"
funriverv         "Fun River (Version 1.4R Dual)"
funybubl          "Funny Bubble"
funybublc         "Funny Bubble (Comad version)"
futari10          "Mushihime-Sama Futari Ver 1.0 (2006/10/23 MASTER VER.)"
futari15          "Mushihime-Sama Futari Ver 1.5 (2006/12/8.MASTER VER. 1.54.)"
futari15a         "Mushihime-Sama Futari Ver 1.5 (2006/12/8 MASTER VER 1.54)"
futaribl          "Mushihime-Sama Futari Black Label - Another Ver (2009/11/27 INTERNATIONAL BL)"
futariblj         "Mushihime-Sama Futari Black Label (2007/12/11 BLACK LABEL VER)"
futflash          "Future Flash"
futspy            "Future Spy (315-5061)"
fuukivid          "Fuuki Video"
fvrpitch          "Fever Pitch (2VXEC534, NSW)"
fx                "F-X (bootleg of S.R.D. Mission)"
g13knd            "Golgo 13 Kiseki no Dandou (Japan, GLS1/VER.A)"
ga2               "Golden Axe: The Revenge of Death Adder (World)"
ga2j              "Golden Axe: The Revenge of Death Adder (Japan)"
ga2u              "Golden Axe: The Revenge of Death Adder (US)"
gaelco_cg1v       "Gaelco CG1V"
gaelco_gae1       "Gaelco GAE1"
gaelco_serial     "Gaelco 3D Serial Hardware"
gaia              "Gaia Crusaders"
gaialast          "Gaia - The Last Choice of Earth"
gaiapols          "Gaiapolis (ver EAF)"
gaiapolsj         "Gaiapolis (ver JAF)"
gaiapolsu         "Gaiapolis (ver UAF)"
gaiden            "Ninja Gaiden (US)"
gakupara          "Quiz Gakuen Paradise (Japan)"
gakusai           "Mahjong Gakuensai (Japan)"
gakusai2          "Mahjong Gakuensai 2 (Japan)"
gal10ren          "Mahjong Gal 10-renpatsu (Japan)"
galactic          "Galactica - Batalha Espacial"
galaga            "Galaga (Namco rev. B)"
galaga3           "Galaga 3 (GP3 rev. D)"
galaga3a          "Galaga 3 (GP3 rev. C)"
galaga3b          "Galaga 3 (GP3)"
galaga3c          "Galaga 3 (set 4)"
galaga3m          "Galaga 3 (set 5)"
galaga88          "Galaga '88"
galaga88a         "Galaga '88 (02-03-88)"
galaga88j         "Galaga '88 (Japan)"
galagamf          "Galaga (Midway set 1 with fast shoot hack)"
galagamk          "Galaga (Midway set 2)"
galagamw          "Galaga (Midway set 1)"
galagao           "Galaga (Namco)"
galap1            "Space Invaders Galactica (galaxiana hack)"
galap4            "Galaxian Part 4 (hack)"
galapx            "Galaxian Part X (moonaln hack)"
galastrm          "Galactic Storm (Japan)"
galaxbsf          "Galaxian (bootleg, set 1)"
galaxbsf2         "Galaxian (bootleg, set 3)"
galaxi            "Galaxi (v2.0)"
galaxia           "Galaxia (set 1)"
galaxiaa          "Galaxia (set 2)"
galaxiab          "Galaxia (set 3)"
galaxiac          "Galaxia (set 4)"
galaxian          "Galaxian (Namco set 1)"
galaxian_sound    "Galaxian Custom Sound"
galaxiana         "Galaxian (Namco set 2)"
galaxianbl        "Galaxian (bootleg, set 2)"
galaxiani         "Galaxian (Irem)"
galaxianm         "Galaxian (Midway set 1)"
galaxianmo        "Galaxian (Midway set 2)"
galaxiant         "Galaxian (Taito)"
galaxrf           "Galaxian (Recreativos Franco S.A. Spanish bootleg)"
galaxrfgg         "Galaxian Growing Galaxip / Galaxian Nave Creciente (Recreativos Franco S.A. Spanish bootleg)"
galaxyfg          "Galaxy Fight - Universal Warriors"
galaxygn          "Galaxy Gunners"
galds             "Gals Ds - Three Dealers Casino House (bootleg?)"
galemp            "Galaxy Empire (bootleg?)"
galeone           "Il Galeone"
galgame           "Galaxy Game"
galgame2          "Galaxy Games StarPak 2"
galgbios          "Galaxy Games BIOS"
galhustl          "Gals Hustler"
galivan           "Cosmo Police Galivan (12/26/1985)"
galivan2          "Cosmo Police Galivan (12/16/1985)"
galivan3          "Cosmo Police Galivan (12/11/1985)"
galkaika          "Mahjong Gal no Kaika (Japan)"
galkoku           "Mahjong Gal no Kokuhaku (Japan)"
gallag            "Gallag"
gallag50          "Gallag Video Game / Petalouda (Butterfly, x50)"
gallop            "Gallop - Armed Police Unit (Japan, M72)"
galmedes          "Galmedes (Japan)"
galmonst          "Galaxy Monsters (Laguna S.A. Spanish bootleg of Space Invaders)"
galpani3          "Gals Panic 3 (Euro)"
galpani3hk        "Gals Panic 3 (Hong Kong)"
galpani3j         "Gals Panic 3 (Japan)"
galpani3k         "Gals Panic 3 (Korea)"
galpani4k         "Gals Panic 4 (Korea)"
galpanic          "Gals Panic (Unprotected)"
galpanica         "Gals Panic (MCU Protected, set 1)"
galpanis          "Gals Panic S - Extra Edition (Europe, set 1)"
galpanisj         "Gals Panic S - Extra Edition (Japan)"
galpanisk         "Gals Panic S - Extra Edition (Korea)"
galpans2          "Gals Panic S2 (Europe)"
galpans2a         "Gals Panic S2 (Asia)"
galpans3          "Gals Panic S3 (Japan)"
galpansu          "Gals Panic SU (Korea)"
galsnew           "Gals Panic (US, EXPRO-02 PCB)"
galsnewa          "Gals Panic (Export, EXPRO-02 PCB)"
galsnewj          "Gals Panic (Japan, EXPRO-02 PCB)"
galsnewk          "Gals Panic (Korea, EXPRO-02 PCB)"
galspnbl          "Gals Pinball"
galturbo          "Galaxian Turbo (superg hack)"
gametngk          "The Game Paradise - Master of Shooting! / Game Tengoku - The Game Paradise (ver 1.0)"
gamtor_vga        "GAMTOR VGA"
ganbare           "Ganbare! Marine Kun (Japan 2K0411)"
gangonta          "Ganbare! Gonta!! 2 / Party Time: Gonta the Diver II (Japan Release)"
gangwars          "Gang Wars"
gangwarsb         "Gang Wars (bootleg)"
gangwarsj         "Gang Wars (Japan)"
gangwarsu         "Gang Wars (US)"
ganjaja           "Ganbare Jajamaru Saisho wa Goo / Ganbare Jajamaru Hop Step & Jump"
ganryu            "Ganryu / Musashi Ganryuki"
gaplus            "Gaplus (GP2 rev. B)"
gaplusa           "Gaplus (GP2)"
gaplusd           "Gaplus (GP2 rev D, alternate hardware)"
gaplust           "Gaplus (Tecfri PCB)"
garage_4          "Garage (040219 World)"
garage_4a         "Garage (bootleg, 040219, backdoor)"
garage_4b         "Garage (bootleg, 040219, changed version text)"
garage_4c         "Garage (bootleg, 040219, LOTO PROGRAM V-GG2)"
garage_5          "Garage (050311 World)"
garage_5a         "Garage (bootleg, 050311, backdoor)"
garage_5b         "Garage (bootleg, 050311, VIDEO GAME-1 GA01)"
garage_5c         "Garage (bootleg, 050311, payout percentage 70)"
garage_5d         "Garage (bootleg, 050311, LOTTOGAME (I))"
garage_5e         "Garage (bootleg, 050311, LOTOS GA01)"
garage_6          "Garage (070213 Russia)"
garage_7          "Garage (070329 Russia)"
garage_9          "Garage (090715 Entertainment)"
gardia            "Gardia (317-0006)"
gardiab           "Gardia (317-0007?, bootleg)"
gardiaj           "Gardia (Japan, 317-0006)"
garogun           "Garogun Seroyang (Korea)"
garou             "Garou - Mark of the Wolves (NGM-2530)"
garoubl           "Garou - Mark of the Wolves (bootleg)"
garouh            "Garou - Mark of the Wolves (NGM-2530 ~ NGH-2530)"
garoup            "Garou - Mark of the Wolves (prototype)"
garyoret          "Garyo Retsuden (Japan)"
gatedoom          "Gate of Doom (US revision 4)"
gatedoom1         "Gate of Doom (US revision 1)"
gatsbee           "Gatsbee"
gaunt2            "Gauntlet II"
gaunt22p          "Gauntlet II (2 Players, rev 2)"
gaunt22p1         "Gauntlet II (2 Players, rev 1)"
gaunt22pg         "Gauntlet II (2 Players, German)"
gaunt2g           "Gauntlet II (German)"
gauntdl           "Gauntlet Dark Legacy (version DL 2.52)"
gauntdl24         "Gauntlet Dark Legacy (version DL 2.4)"
gauntleg          "Gauntlet Legends (version 1.6)"
gauntleg12        "Gauntlet Legends (version 1.2)"
gauntlet          "Gauntlet (rev 14)"
gauntlet2p        "Gauntlet (2 Players, rev 6)"
gauntlet2pg       "Gauntlet (2 Players, German, rev 4)"
gauntlet2pg1      "Gauntlet (2 Players, German, rev 1)"
gauntlet2pj       "Gauntlet (2 Players, Japanese, rev 5)"
gauntlet2pj2      "Gauntlet (2 Players, Japanese, rev 2)"
gauntlet2pr3      "Gauntlet (2 Players, rev 3)"
gauntletg         "Gauntlet (German, rev 10)"
gauntletgr3       "Gauntlet (German, rev 3)"
gauntletgr6       "Gauntlet (German, rev 6)"
gauntletgr8       "Gauntlet (German, rev 8)"
gauntletj         "Gauntlet (Japanese, rev 13)"
gauntletj12       "Gauntlet (Japanese, rev 12)"
gauntletr1        "Gauntlet (rev 1)"
gauntletr2        "Gauntlet (rev 2)"
gauntletr4        "Gauntlet (rev 4)"
gauntletr5        "Gauntlet (rev 5)"
gauntletr7        "Gauntlet (rev 7)"
gauntletr9        "Gauntlet (rev 9)"
gauntlets         "Gauntlet (Spanish, rev 15)"
gaxeduel          "Golden Axe - The Duel (JUETL 950117 V1.000)"
gberet            "Green Beret"
gberetb           "Green Beret (bootleg)"
gblchmp           "Global Champion (Ver 2.1A 1994/07/29)"
gbusters          "Gang Busters (set 1)"
gbustersa         "Gang Busters (set 2)"
gcastle           "Golden Castle (prototype?)"
gchgchmp          "Gachaga Champ (GE877 VER. JAB)"
gcpinbal          "Grand Cross v1.02F"
gdarius           "G-Darius (Ver 2.01J)"
gdarius2          "G-Darius Ver.2 (Ver 2.03J)"
gdariusb          "G-Darius (Ver 2.02A)"
gdfs              "Mobile Suit Gundam Final Shooting (Japan)"
geebee            "Gee Bee (Japan)"
geebee_sound      "Gee Bee Custom Sound"
geebeeb           "Gee Bee (Europe)"
geebeeg           "Gee Bee (US)"
geforce_7600gs    "NVIDIA GeForce 7600GS"
gegege            "GeGeGe no Kitarou Youkai Slot"
geimulti          "GEI Multi Game"
gekiretu          "Quiz Gekiretsu Scramble (Japan)"
gekiridn          "Gekirindan (Ver 2.3O 1995/09/21)"
gekiridnj         "Gekirindan (Ver 2.3J 1995/09/21)"
gekisha           "Mahjong Gekisha"
gemini            "Gemini Wing (Japan)"
generic_latch_16  "Generic 16-bit latch"
generic_latch_8   "Generic 8-bit latch"
generic_rom_plain "Generic ROM (plain mapping)"
generic_socket    "Generic ROM Socket / RAM Socket"
genie             "Genie (ICP-1, set 1)"
geniea            "Genie (ICP-1, set 2)"
genix             "Genix Family"
genpeitd          "Genpei ToumaDen"
gensitou          "Genshi-Tou 1930's"
geostorm          "Geo Storm (Japan)"
gepoker           "Poker (Version 50.02 ICB, set 1)"
gepoker1          "Poker (Version 50.02 ICB, set 2)"
gepoker2          "Poker (Version 50.02 ICB, set 3)"
getrich           "Get Rich (Version 1.0.1)"
getstarb1         "Get Star (bootleg set 1)"
getstarb2         "Get Star (bootleg set 2)"
getstarj          "Get Star (Japan)"
gfire2            "Golden Fire II"
gforce2           "Galaxy Force 2"
gforce2j          "Galaxy Force 2 (Japan)"
gforce2ja         "Galaxy Force 2 (Japan, Rev A)"
gforce2sd         "Galaxy Force 2 (Super Deluxe unit)"
gfxdecode         "gfxdecode"
gghost            "Goalie Ghost"
gground           "Gain Ground (World, 3 Players, Floppy Based, FD1094 317-0058-03d Rev A)"
ggroundj          "Gain Ground (Japan, 2 Players, Floppy Based, FD1094 317-0058-03b)"
ghlpanic          "Ghoul Panic (World, OB2/VER.A)"
ghoshunt          "Ghost Hunter"
ghostb            "The Real Ghostbusters (US 2 Players, revision 2)"
ghostb2a          "The Real Ghostbusters (US 2 Players)"
ghostb3           "The Real Ghostbusters (US 3 Players)"
ghostlop          "Ghostlop (prototype)"
ghostmun          "Ghost Muncher"
ghouls            "Ghouls'n Ghosts (World)"
ghoulsu           "Ghouls'n Ghosts (USA)"
ghox              "Ghox (spinner)"
ghoxj             "Ghox (joystick)"
ghunter           "Gang Hunter / Dead Angle"
ghunters          "Gang Hunter / Dead Angle (Spain)"
gigandes          "Gigandes"
gigandesa         "Gigandes (earlier)"
gigas             "Gigas (MC-8123, 317-5002)"
gigasb            "Gigas (bootleg)"
gigasm2b          "Gigas Mark II (bootleg)"
gigawing          "Giga Wing (USA 990222)"
gigawinga         "Giga Wing (Asia 990222)"
gigawingb         "Giga Wing (Brazil 990222)"
gigawingd         "Giga Wing (USA 990222 Phoenix Edition) (bootleg)"
gigawingh         "Giga Wing (Hispanic 990222)"
gigawingj         "Giga Wing (Japan 990223)"
gigawingjd        "Giga Wing (Japan 990223 Phoenix Edition) (bootleg)"
gijoe             "G.I. Joe (World, EAB, set 1)"
gijoea            "G.I. Joe (Asia, AA)"
gijoej            "G.I. Joe (Japan, JAA)"
gijoeu            "G.I. Joe (US, UAB)"
gimeabrk          "Gimme A Break (7/7/85)"
ginganin          "Ginga NinkyouDen (set 1)"
ginganina         "Ginga NinkyouDen (set 2)"
ginkun            "Ganbare Ginkun"
gionbana          "Gionbana (Japan 890120)"
girotutt          "GiroTutto"
gladiatr          "Gladiator (US)"
glass             "Glass (Ver 1.1, Break Edition, Checksum 49D5E66B, Version 1994)"
glass10           "Glass (Ver 1.0, Break Edition, Checksum C5513F3C)"
glass10a          "Glass (Ver 1.0, Break Edition, Checksum D3864FDB)"
glasskr           "Glass (Ver 1.1, Break Edition, Checksum D419AB69, Version 1994) (censored, unprotected)"
gldarrow          "Golden Arrow (Standard G8-03)"
gldncrwn          "Golden Crown (Dutch, Game Card 95-752-011)"
gldnpkr           "Golden Poker (8VXEC037, New Zealand)"
gloc              "G-LOC Air Battle (World)"
glocr360          "G-LOC R360 (World)"
glocu             "G-LOC Air Battle (US)"
glpracr           "Gallop Racer (English Ver 10.17.K)"
glpracr2          "Gallop Racer 2 (Export)"
glpracr2j         "Gallop Racer 2 (Japan)"
glpracr2l         "Gallop Racer 2 Link HW (Japan)"
glpracr3          "Gallop Racer 3 (Export)"
glpracr3j         "Gallop Racer 3 (Japan)"
glpracrj          "Gallop Racer (Japanese Ver 9.01.12)"
gluck2            "Good Luck II"
gmahou            "Great Mahou Daisakusen (Japan 000121)"
gmgalax           "Ghostmuncher Galaxian (bootleg)"
gmissile          "Guided Missile"
gms30c2116        "Hynix GMS30C2116"
gms30c2132        "Hynix GMS30C2132"
gms30c2232        "Hynix GMS30C2232"
gnbarich          "Gunbarich"
gng               "Ghosts'n Goblins (World? set 1)"
gnga              "Ghosts'n Goblins (World? set 2)"
gngbl             "Ghosts'n Goblins (bootleg with Cross)"
gngblita          "Ghosts'n Goblins (Italian bootleg, harder)"
gngc              "Ghosts'n Goblins (World? set 3)"
gngprot           "Ghosts'n Goblins (prototype)"
gngt              "Ghosts'n Goblins (US)"
gnome             "Gnome (070906 Russia)"
gnome_10          "Gnome (100326 Lottery)"
gnome_11          "Gnome (100326 Entertainment)"
gnome_12          "Gnome (100326 Russia)"
gnome_2           "Gnome (071115 Russia)"
gnome_2a          "Gnome (bootleg, 071115, banking address hack)"
gnome_3           "Gnome (080303 World)"
gnome_3a          "Gnome (bootleg, 080303, banking address hack)"
gnome_3b          "Gnome (bootleg, 080303, banking address hack, payout percentage 45)"
gnome_3c          "Gnome (bootleg, 080303, banking address hack, payout percentage 60)"
gnome_4           "Gnome (090402 Russia)"
gnome_5           "Gnome (090406 World)"
gnome_5a          "Gnome (bootleg, 090406, banking address hack, payout percentage 70)"
gnome_5b          "Gnome (bootleg, 090406, LOTTOGAME (I))"
gnome_7           "Gnome (090708 Lottery)"
gnome_9           "Gnome (100326 World)"
gnomea            "Gnome (bootleg, 070906, banking address hack set 1)"
gnomeb            "Gnome (bootleg, 070906, banking address hack set 2)"
gnomec            "Gnome (bootleg, 070906, banking address hack set 3)"
gnomed            "Gnome (bootleg, 070906, VIDEO GAME-1 GN01)"
gnomee            "Gnome (bootleg, 070906, LOTOS GN01)"
go2000            "Go 2000"
goal92            "Goal! '92"
goalx3            "Goal! Goal! Goal!"
gobyrc            "Go By RC (V2.03O 1999/05/25 13:31)"
godzilla          "Godzilla (Japan)"
gogold            "Go For The Gold (Japan)"
gogomile          "Susume! Mile Smile / Go Go! Mile Smile (newer)"
gogomileo         "Susume! Mile Smile / Go Go! Mile Smile (older)"
gokuparo          "Gokujyou Parodius (ver JAD)"
goldbug           "Gold Bug"
goldenc           "Golden Canaries (1VXFC5462, New Zealand)"
goldfish          "Gold Fish (020903, prototype)"
goldfrui          "Gold Fruit"
goldmedl          "Gold Medalist (set 1)"
goldnaxe          "Golden Axe (set 6, US) (8751 317-123A)"
goldnaxe1         "Golden Axe (set 1, World) (FD1094 317-0110)"
goldnaxe1d        "Golden Axe (set 1, World) (bootleg of FD1094 317-0110 set)"
goldnaxe2         "Golden Axe (set 2, US) (8751 317-0112)"
goldnaxe3         "Golden Axe (set 3, World) (FD1094 317-0120)"
goldnaxe3d        "Golden Axe (set 3, World) (bootleg of FD1094 317-0120 set)"
goldnaxej         "Golden Axe (set 4, Japan) (FD1094 317-0121)"
goldnaxejd        "Golden Axe (set 4, Japan) (bootleg of FD1094 317-0121 set)"
goldnaxeu         "Golden Axe (set 5, US) (FD1094 317-0122)"
goldnaxeud        "Golden Axe (set 5, US) (bootleg of FD1094 317-0122 set)"
goldnpkb          "Golden Poker Double Up (Mini Boy)"
goldnpkr          "Golden Poker Double Up (Big Boy)"
goldstar          "Golden Star"
goldstbl          "Golden Star (Blue version)"
golgo13           "Golgo 13 (Japan, GLG1/VER.A)"
gollygho          "Golly! Ghost!"
gomoku            "Gomoku Narabe Renju"
gomoku_sound      "Gomoku Narabe Renju Custom Sound"
gondo             "Gondomania (US)"
good              "Good (Korea)"
goodejan          "Good E Jong -Kachinuki Mahjong Syoukin Oh!!- (set 1)"
goodejana         "Good E Jong -Kachinuki Mahjong Syoukin Oh!!- (set 2)"
goodluck          "Good Luck"
goonies           "Vs. The Goonies (set E)"
gorf              "Gorf"
gorfpgm1          "Gorf (program 1)"
gorfpgm1g         "Gorf (program 1, with German Language ROM)"
gorkans           "Gorkans"
gostop            "Kankoku Hanafuda Go-Stop"
gotcha            "Got-cha Mini Game Festival"
gotsndr0          "Gottlieb Sound rev. 0"
gotsndr1          "Gottlieb Sound rev. 1"
gotsndr2          "Gottlieb Sound rev. 2"
gotya             "Got-Ya (12/24/1981)"
gowcaizr          "Voltage Fighter - Gowcaizer / Choujin Gakuen Gowcaizer"
gp9001vdp         "GP9001 VDP"
gp98              "Grand Prix '98 (V100K)"
gpgolf            "Golden Par Golf (Joystick, V1.1)"
gpilots           "Ghost Pilots (NGM-020 ~ NGH-020)"
gpilotsh          "Ghost Pilots (NGH-020, US)"
gprider           "GP Rider (World, FD1094 317-0163) (Twin setup)"
gpriderj          "GP Rider (Japan, FD1094 317-0161) (Twin setup)"
gpriderjs         "GP Rider (Japan, FD1094 317-0161)"
gpriders          "GP Rider (World, FD1094 317-0163)"
gprideru          "GP Rider (US, FD1094 317-0162) (Twin setup)"
gpriderus         "GP Rider (US, FD1094 317-0162)"
gq863             "Twinkle System"
gradius           "Gradius (Japan, ROM version)"
gradius2          "Gradius II - GOFER no Yabou (Japan New Ver.)"
gradius2a         "Gradius II - GOFER no Yabou (Japan Old Ver.)"
gradius2b         "Gradius II - GOFER no Yabou (Japan Older Ver.)"
gradius3          "Gradius III (World, program code R)"
gradius3a         "Gradius III (Asia)"
gradius3j         "Gradius III (Japan, program code S)"
gradius3js        "Gradius III (Japan, program code S, split)"
gradius4          "Gradius IV: Fukkatsu (ver JAC)"
grasspin          "Grasspin"
gratia            "Gratia - Second Earth (ver 1.0, 92047-01 version)"
gratiaa           "Gratia - Second Earth (ver 1.0, 91022-10 version)"
gravitar          "Gravitar (version 3)"
gravitar1         "Gravitar (version 1)"
gravitar2         "Gravitar (version 2)"
grchamp           "Grand Champion (set 1)"
grdforce          "Guardian Force (JUET 980318 V0.105)"
grdian            "Guardian (US)"
grdians           "Guardians / Denjin Makai II"
grdnstrm          "Guardian Storm (horizontal, not encrypted)"
grdnstrmg         "Guardian Storm (Germany)"
grdnstrmj         "Sen Jing - Guardian Storm (Japan)"
grdnstrmk         "Jeon Sin - Guardian Storm (Korea)"
grdnstrmv         "Guardian Storm (vertical)"
greatgun          "Great Guns"
greatgur          "Great Gurianos (Japan?)"
grescue           "Galaxy Rescue"
gridiron          "Gridiron Fight"
gridlee           "Gridlee"
gridlee_sound     "Gridlee Custom Sound"
griffon           "Griffon (Videotron bootleg of Phoenix)"
grindstm          "Grind Stormer"
grindstma         "Grind Stormer (older set)"
grmatch           "Grudge Match (Yankee Game Technology)"
grndtour          "Grand Tour (V100U)"
grobda            "Grobda (New Ver.)"
grobda2           "Grobda (Old Ver. set 1)"
grobda3           "Grobda (Old Ver. set 2)"
groovef           "Groove on Fight - Gouketsuji Ichizoku 3 (J 970416 V1.001)"
groundfx          "Ground Effects / Super Ground Effects (Japan)"
growl             "Growl (World, Rev 1)"
growla            "Growl (World)"
growlp            "Growl (World, prototype)"
growlu            "Growl (US)"
grudge            "Grudge Match (v00.90, Italy, location test?)"
gryzor            "Gryzor (set 1)"
gryzor1           "Gryzor (set 2)"
gs4002            "Selection (Version 40.02TMB, set 1)"
gs4002a           "Selection (Version 40.02TMB, set 2)"
gseeker           "Grid Seeker: Project Storm Hammer (Ver 1.3O)"
gseekerj          "Grid Seeker: Project Storm Hammer (Ver 1.3J)"
gseekeru          "Grid Seeker: Project Storm Hammer (Ver 1.3A)"
gslgr94j          "Great Sluggers '94 (Japan)"
gslgr94u          "Great Sluggers '94"
gslugrsj          "Great Sluggers (Japan)"
gstream           "G-Stream G2020"
gstrik2           "Grand Striker 2 (Europe and Oceania)"
gstrik2j          "Grand Striker 2 (Japan)"
gt103a1           "Trivia (Unsorted question roms)"
gt103aa           "Trivia (Version 1.03a Alt questions 1)"
gt103ab           "Trivia (Version 1.03a Alt questions 2)"
gt103asx          "Trivia (Version 1.03a Sex questions)"
gt2k              "Golden Tee 2K (v1.00)"
gt2kp100          "Golden Tee 2K (v1.00) (alt protection)"
gt2ks100          "Golden Tee 2K (v1.00S)"
gt2kt500          "Golden Tee 2K Tournament (v5.00)"
gt3d              "Golden Tee 3D Golf (v1.93N)"
gt3dl19           "Golden Tee 3D Golf (v1.9L)"
gt3dl191          "Golden Tee 3D Golf (v1.91L)"
gt3dl192          "Golden Tee 3D Golf (v1.92L)"
gt3ds192          "Golden Tee 3D Golf (v1.92S)"
gt3dt211          "Golden Tee 3D Golf Tournament (v2.11)"
gt3dt231          "Golden Tee 3D Golf Tournament (v2.31)"
gt3dv14           "Golden Tee 3D Golf (v1.4)"
gt3dv15           "Golden Tee 3D Golf (v1.5)"
gt3dv16           "Golden Tee 3D Golf (v1.6)"
gt3dv17           "Golden Tee 3D Golf (v1.7)"
gt3dv18           "Golden Tee 3D Golf (v1.8)"
gt507uk           "Trivia (UK Version 5.07)"
gt97              "Golden Tee '97 (v1.30)"
